Location,number of strikes
Aita ech Chaab,311
Ras al Naqoura,241
Houla,235
Kfar Kila,228
Tayr Harfa,215
Aalma Ech Chaab,205
Ed Dhayra,200
Khiyam,190
Mays el Jabal,189
Kfar Chouba,186
Labbouneh,171
Aitaroun,167
Ramieh,162
Jebbayn,156
Marwahin,150
Yaroun,148
Blida,140
Aadayseh Marjayoun,134
Chebaa,131
Yarine,128
Markaba,124
Rachaya al Foukhar,124
Maroun er Ras,102
Kfar Hamam,96
Al Wazzani,93
Chihhine,88
El Hamames,86
Rmaysh,84
Beit Lif,81
Taybeh,77
Boustane,74
Marjayoun,64
Deir Mimas,62
Majdel Zoun,61
El Habbariye,61
Hilta,60
Mhaibib,58
Rab el Thalathine,57
Jabal Blat,56
Hanine,47
Zebqine,47
Bent Jbeil,47
Hamoul,41
Yater,34
Fradis,33
Kounine,32
Umm Touteh,28
Qouzah,27
Bani Haiyan,25
El Meri,22
Rihan,20
Talouseh,18
Borj el Mlouk,18
Bustra,18
Tell en Nhas,17
Aaziyyeh,16
Baraachit,16
Berghoz,16
Qabrikha,16
Deir Siriane,15
Kafra,15
Ain Zarqa,14
At Tiri,14
Nabatiye,14
El Majidiye,13
Qantara,13
El Mansouri,13
Qlayaa,12
Majdel Selm,12
Tyr,12
Mazraat Sarada,12
Saddiqine,11
Ainata,11
Yohmor,11
Khraibe,10
Aabbassiye,10
Sriri,10
Debl,9
Zalloutieh,9
Btaichiye,9
Mazraat Sardah,9
Chaqra,8
Hasbaya,8
Jbaa,7
Aramta,7
Coast of Ras al Naqoura,7
Hanniyeh,6
Kherbet Selm,6
As Salihani,6
Aaychiyeh,6
Qlaileh,6
Arnoun,6
Haddatha,6
Kfar Tebnit,5
El Ghandouriyeh,5
Chamaa,5
Hourah,5
Aadchit,5
Chaaytiye,5
Tallit el Azziye,5
Ech Chehabiye,5
Mazraat el Aarqoub,5
Baalbek,4
Sifri,4
Berkat Jabbour,4
Deir Kifa,4
Mahmoudiya,4
Jbal el Botm,4
Jabal Safi,4
Ibl el Saqi,4
Kfar Roummane,4
Sejoud,4
Srebbine,4
Beit Yahoun,4
Ain Ebel,4
Wadi Khansa,4
Rchaf,4
El Bayada,3
Blat,3
Aadloun,3
Dellafeh,3
Jibchit,3
Al Nabi Sheet,3
Jezzine,3
Es Sedaneh,3
Qatrani,3
Bourghliye,3
Jenta,3
Harouf,3
Mlikh,3
Touline,3
Saraain,3
Maaliyeh,3
Hosh,3
As Sultaniyah,2
Baisariyeh,2
Houmine el Faouqa,2
Srifa,2
Jannata,2
Iaat,2
Mazraat el Hamra,2
Qana,2
Bazouriyeh,2
Deir Aames,2
Douris,2
Dibbine,2
Aadous,2
Sarafand,2
Roumine,2
Charqa,2
Ain Baal,2
Kaouthariyet el Saiyad,2
Meidoun,2
Boudai,2
Haouch Tall Safiye,2
Ez Zahrani,2
Kharayeb,2
Jouaiya,2
Sidon,2
Al Lwaiza,2
Zahajra,2
Aabba,1
Salaiyeb,1
Chmistar,1
Taraiyya,1
Hrajel,1
Khalwat,1
Khaldah,1
Tebna,1
Zaoutar ech Charqiye,1
Haret Hreik,1
Qaaqaaiyet el Jisr,1
Houmine et Tahta,1
Safad el Battikh,1
Kfar Sir,1
Kaoukaba,1
Burj Shemali,1
Souaneh,1
Aalmane,1
Sniyeh,1
Jadra,1
Habchit,1
Zhalta,1
Tebnine,1
Bouslaiaya,1
El Keiyal,1
Mjadel,1
Ghaziyeh,1
Bazouriye,1
Ain Jerfa,1
Toura,1
Mazraat Jabal Tourah,1
El Ain,1
Ed Demachqiye,1
Deir Ez Zahrani,1
El Babliye,1
Mansourieh,1
Ain Qinya,1
Jarmaq,1
Toul,1
Aaqmata,1
Baflay,1
Souairi,1
El Qoussair,1
Zabboud,1
Wadi Faara,1
Ras Baalbek,1
Jarjouaa,1
Qatmoun,1
Haris,1
Kfar Dajjal,1
Al Hermel,1
Khirbet Qanafar,1
Wadi Jilo,1
Arzai,1
Kfar Qouq,1
Mazraat Kaoutariyet Er Riz,1
Zrariyeh,1
Beit Mchik,1
Hmaileh,1
Ain Qana,1
Rawda (Istabel),1
Abou Qamha,1
Jmaijmeh,1
Ain At Tina,1
Ghazze,1
Taoumat Niha,1
Maaroub,1
Chaat,1
Sohmor,1
Massa,1
Khiara,1
